Baseline 100%T,,R1 Sulfuric acid + Ferric Sulfate,,R2 Sulfuric acid + Ferric Sulfate,,R3 Sulfuric acid + Ferric Sulfate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
601.0151367,0.1336655021,601.0151367,0.199773252,601.0151367,0.05350834876,601.0151367,0.03304706886,
600.0119629,0.1339204311,600.0119629,0.19991979,600.0119629,0.05344341323,600.0119629,0.03295397758,
599.0085449,0.133752808,599.0085449,0.2003483921,599.0085449,0.05330794305,599.0085449,0.03299754485,
598.0047607,0.1335861236,598.0047607,0.2011932433,598.0047607,0.05362384766,598.0047607,0.03321874887,
597.0007935,0.1337877065,597.0007935,0.2015926838,597.0007935,0.05357678235,597.0007935,0.0330644697,
595.996582,0.1337550879,595.996582,0.2015430182,595.996582,0.05361584947,595.996582,0.03315735981,
594.9921265,0.1336448938,594.9921265,0.2021891326,594.9921265,0.0535512194,594.9921265,0.03317974135,
593.9873047,0.1336205006,593.9873047,0.2025582045,593.9873047,0.05359476432,593.9873047,0.03333120793,
592.9822998,0.1338117421,592.9822998,0.2028593272,592.9822998,0.05356345698,592.9822998,0.03321318701,
592.0142212,0.1335934848,592.0142212,0.2036975175,592.0142212,0.05359373987,592.0142212,0.03348723054,
591.0087891,0.1337129325,591.0087891,0.2038463354,591.0087891,0.05339487642,591.0087891,0.03351524845,
590.0029297,0.1336660981,590.0029297,0.2042280585,590.0029297,0.05369343981,590.0029297,0.03380957246,
588.9968262,0.1335012168,588.9968262,0.2045082748,588.9968262,0.05394458026,588.9968262,0.03388476372,
587.9905396,0.1336123943,587.9905396,0.2045004517,587.9905396,0.05396140367,587.9905396,0.03360037506,
586.9840088,0.1335641593,586.9840088,0.2046539783,586.9840088,0.05372038856,586.9840088,0.03403645009,
586.0144653,0.1335594803,586.0144653,0.2051376849,586.0144653,0.0538206771,586.0144653,0.03414170071,
585.0073853,0.1336101741,585.0073853,0.2053940296,585.0073853,0.05423501506,585.0073853,0.03403796256,
584.000061,0.133738324,584.000061,0.2055315077,584.000061,0.05384444073,584.000061,0.03403933346,
582.9924927,0.1335303932,582.9924927,0.2059077173,582.9924927,0.05433055013,582.9924927,0.03409488127,
581.9846191,0.1332507581,581.9846191,0.2062552422,581.9846191,0.05458402634,581.9846191,0.03471530229,
581.013916,0.133286044,581.013916,0.2069541812,581.013916,0.05464012176,581.013916,0.0345900096,
580.0054932,0.1333439201,580.0054932,0.2075513154,580.0054932,0.05456656218,580.0054932,0.03473450989,
578.9969482,0.1335003376,578.9969482,0.2077702135,578.9969482,0.05462758988,578.9969482,0.03451225534,
577.9880981,0.1332996637,577.9880981,0.2084961385,577.9880981,0.05511055142,577.9880981,0.03507725522,
577.0163574,0.1333249658,577.0163574,0.2093381733,577.0163574,0.05518961325,577.0163574,0.03518144041,
576.006958,0.1333460361,576.006958,0.2097808421,576.006958,0.05516909808,576.006958,0.03525824472,
574.9973755,0.1332665235,574.9973755,0.2104190737,574.9973755,0.05542379618,574.9973755,0.03539272025,
573.9875488,0.1331357956,573.9875488,0.2110779881,573.9875488,0.05575999245,573.9875488,0.03572946414,
573.0148926,0.132998541,573.0148926,0.2119929492,573.0148926,0.05593246967,573.0148926,0.0358030498,
572.0045166,0.1330217421,572.0045166,0.2124054879,572.0045166,0.05598014221,572.0045166,0.03590268269,
570.9938965,0.1329087466,570.9938965,0.2127909958,570.9938965,0.05624389276,570.9938965,0.036133755,
569.9830322,0.1329538822,569.9830322,0.2129173577,569.9830322,0.05622220784,569.9830322,0.03613572195,
569.0093994,0.1325873435,569.0093994,0.2136161327,569.0093994,0.05656904355,569.0093994,0.03636925295,
567.9980469,0.1325246841,567.9980469,0.2143213451,567.9980469,0.0567478314,567.9980469,0.03646200895,
566.9864502,0.1324445158,566.9864502,0.2149420828,566.9864502,0.05661778897,566.9864502,0.03662425652,
566.0120239,0.1325041801,566.0120239,0.2151908576,566.0120239,0.05672727153,566.0120239,0.03662284836,
565,0.1323638856,565,0.2156116813,565,0.05684666708,565,0.03664284572,
563.9876709,0.1321452856,563.9876709,0.215941146,563.9876709,0.05713291094,563.9876709,0.0370125249,
563.0126343,0.1319772899,563.0126343,0.2166932374,563.0126343,0.05722170323,563.0126343,0.03713916615,
561.9997559,0.1317204535,561.9997559,0.2174086422,561.9997559,0.0574811846,561.9997559,0.03722675517,
560.9867554,0.1317193359,560.9867554,0.217563346,560.9867554,0.05756771192,560.9867554,0.03747235984,
560.0109863,0.1315524131,560.0109863,0.2184617668,560.0109863,0.05770209059,560.0109863,0.03751172498,
558.9974365,0.1315351427,558.9974365,0.2186439484,558.9974365,0.05737792328,558.9974365,0.03716767579,
557.9836426,0.131321609,557.9836426,0.219223395,557.9836426,0.0577839911,557.9836426,0.03737149015,
557.0072021,0.1309794784,557.0072021,0.2200306058,557.0072021,0.05798153207,557.0072021,0.03776245937,
555.9928589,0.1309161633,555.9928589,0.2207695097,555.9928589,0.05798091367,555.9928589,0.03763617203,
555.0158691,0.1306106448,555.0158691,0.2213849723,555.0158691,0.05809786916,555.0158691,0.03766694292,
554.0012207,0.1305343807,554.0012207,0.2217718214,554.0012207,0.05820390955,554.0012207,0.03749422729,
552.9862061,0.1301896572,552.9862061,0.2225994319,552.9862061,0.05824360251,552.9862061,0.03780320659,
552.0085449,0.130154714,552.0085449,0.2226692736,552.0085449,0.05842944607,552.0085449,0.0376349017,
550.993042,0.1297138333,550.993042,0.223599866,550.993042,0.05850363523,550.993042,0.03782201558,
550.0150146,0.1294811964,550.0150146,0.2242604792,550.0150146,0.05849987641,550.0150146,0.03792765364,
548.9990845,0.1290396005,548.9990845,0.225083068,548.9990845,0.05858151242,548.9990845,0.03788601607,
